<<<<<<< HEAD
127.0.0.1, 2019-05-24 01:30:43, GET, /hw5_v1/default/index, HTTP/1.1, 404, 0.018000
127.0.0.1, 2019-05-24 01:31:06, GET, /admin/default/site, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-05-24 01:31:21, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2019-05-24 01:31:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.034000
127.0.0.1, 2019-05-24 01:31:22, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-24 01:31:23, GET, /admin/default/site, HTTP/1.1, 303, 0.012000
127.0.0.1, 2019-05-24 01:31:23, GET, /admin/default/index, HTTP/1.1, 200, 0.014000
127.0.0.1, 2019-05-24 01:31:26, POST, /admin/default/index, HTTP/1.1, 303, 0.020000
127.0.0.1, 2019-05-24 01:31:26, GET, /admin/default/site, HTTP/1.1, 200, 0.024000
127.0.0.1, 2019-05-24 01:31:26, POST, /admin/default/check_version, HTTP/1.1, 200, 0.342000
127.0.0.1, 2019-05-24 01:31:28, GET, /hw5_v1/default/index, HTTP/1.1, 404, 0.033000
127.0.0.1, 2019-05-24 01:31:28, GET, /hw5_v1/default/index, HTTP/1.1, 404, 0.027000
=======
127.0.0.1, 2019-05-09 00:33:48, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.758000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000

127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
